;Локальная тема;Описание
500;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
501;Неисправность элементов освещения на проезжей части/тротуаре;Фонарь не работает (лампы не светят нормально), из-за этого проезжая и пешеходная часть не освещены. 
502;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Огромная яма и повреждённый люк в пешеходной зоне на ул. Горбунова, недалеко от автобусной остановки «Завод Электрощит (в сторону области)» и съезда на МКАД. Ближайший адрес: ул. Горбунова 12 с4.
503;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
504;Неисправность элементов освещения на проезжей части/тротуаре;Не горят фонари
505;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
506;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
507;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Здравствуйте! Выбоины.
508;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка люка!55.7477306 37.7224583
509;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;"Возле остановки общественного транспорта ""завод ЖБИ № 7"" расположено опасное дерево, почти полный сухостой!"
510;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;"Отсутствие травяного покрова! Восстановите газоны в соответствии с пунктом 3.8 ""Устройство газона"" ПП-743: промывка почвы после засоления реагентами, завоз плодородного грунта, рыхление, травосмеси теневыноливых трав, прикатка семян. 55.7487639 37.7219861"
511;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на тротуаре! Травмоопасно!55.7614167 37.7040750
512;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк мвк
513;Неубранная проезжая часть/тротуар;Лескова, вл1 - реклама на столбе
514;Реклама на дорожном покрытии;Реклама
515;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Газон прилегающий к придомовой парковке дома Ратная, д.10, к.1 со стороны улицы Дмитрия Донского - сильно вытоптан. Требуется завоз черноземного слоя грунта, посев семян и полив газона.
516;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;"Отсутствие травяного покрова! Восстановите газоны в соответствии с пунктом 3.8 ""Устройство газона"" ПП-743: промывка почвы после засоления реагентами, завоз плодородного грунта, рыхление, травосмеси теневыноливых трав, прикатка семян. 55.7487944 37.7237667"
517;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
518;Брошенный разукомплектованный автомобиль на проезжей части;
519;Неисправность элементов освещения на проезжей части/тротуаре;Добрый день! Не работает несколько мачт уличного освещения (дублёр проспекта Андропова в сторону центра).
520;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма! Огорожено! Видимо был ремонт ранее. Просьба переделать , так как заплатка торчит криво
521;Неубранная проезжая часть/тротуар;Остановка, к/т Волга, несколько дней мусор не убирают! Всё уже валяется на газоне.
522;Неубранная проезжая часть/тротуар;На 3-й Магистральной улице перед эстакадой ведущей на Шелепихинское шоссе, на обочине и на газоне кучи мусора.
523;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Накренен на один бок люк канализации. Просьба сделать ремонт
524;Поврежденные дорожные ограждения;Сломана нижняя секция ограждения, местные жители мешают гонять рядом с садиками. Надо показать где их место.
525;Неисправность элементов освещения на проезжей части/тротуаре;
526;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Провал проезжей части. 
527;Некачественная укладка плитки на тротуаре;Провал плитки
528;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Отсутствует асфальт на дороге
529;Неисправность элементов освещения на проезжей части/тротуаре;Добрый день! Не работает несколько десятков плафонов мачт уличного освещения проезжей части.
530;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;На Липецкой улице (в пятидесяти метрах от остановки Педагогическая улица), сразу за забором Бирюлевского дендропарка растет БОРЩЕВИК.
531;Подтопление на проезжей части/тротуаре;Красным обведено место, где была единственная ливнёвка около дома 6, корпус 13. Её полностью заасфальтировали, а она и так не справлялась с водой. Во время сильных дождей даже затапливало сам холл подъезда. Теперь воде вообще некуда деваться. На втором фото видно как вода полностью покрывает место разметки спец транспорта.
532;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
533;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);На Выборгской улице напротив д. 1 выбоина на проезжей части.
534;Реклама на дорожном покрытии;Реклама у перехода через дублер
535;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);На Выборгской улице напротив дома №29 по ул. Адмирала Макарова яма на проезжей части.
536;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Выбоины напротив магазина Вкусвилла и Электронной подстанцией Метрополитена.
537;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Ветви мешают проходу
538;Неисправность элементов освещения на проезжей части/тротуаре;Частично не работают фонари на парковке
539;Неубранная проезжая часть/тротуар;Здравствуйте! Столбы облеплены рекламой.
540;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
541;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк! Довожу до сведения ответственной организации : пока люковое оборудование не будет поднято до уровня асфальта проблема засчитана не будет ! Ответственная организация Моэк! Так же требуется замена люка, так как данный люк с ободом просел на один бок!
542;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;На Азовской улице, напротив дома 4 (по не четной стороне) нет травы, земля утрамбована
543;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы на проезжей части
544;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Снова просела заплатка! Просьба сделать более качественно , и поднять заплатку до уровня основного асфальта, так как сейчас она гораздо ниже уровня!!
545;Поврежденные искусственные дорожные неровности;Поврежденные искусственные дорожные неровности 
546;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Здравствуйте! Пень от дерева, спиленного по сообщению №26314047, надо выкорчевать.
547;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк
548;Наличие опасно выступающих элементов на проезжей части/тротуаре;Выпирает арматура
549;Поврежденные дорожные ограждения;Повреждение антипарковочного столбика на пересечении улиц Булатниковская и Востряковский проезд
550;Поврежденные дорожные ограждения;Нет верхней перекладины у двух секций
551;Поврежденные/неправильно установленные дорожные знаки;Стоит одинокий столб без знака
552;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел асфальт вокруг люка
553;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просела ливневка на один бок
554;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
555;Реклама на дорожном покрытии;Реклама возле остановки
556;Некачественная укладка плитки на тротуаре;Плитка, которую положили вместо асфальта на тротуаре превратила дорогу для пешеходов в дорогу с постоянными проблемами. Плитка провалилась во многих местах, при наступлении на неё шатается , много выбоин и неровностей. Для людей данное покрытие представляет собой опасность, т.к. может привести к травмам при падении. Срочно приведите в порядок.
557;Неисправность элементов освещения на проезжей части/тротуаре;Не светит
558;Неубранная проезжая часть/тротуар;Широкая 1к1 электрические щиты, которые стоят между дорогой и тротуаром все загрязнены надписями
559;Наличие опасно выступающих элементов на проезжей части/тротуаре;На пересечении Чонгарского с Азовской. У салона красоты
560;Некачественная укладка плитки на тротуаре;Плиты разваливаются!
561;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
562;Стертая дорожная разметка;Добрый день! Вторую неделю нет дорожной разметки после ремонта дороги. Просьба провести проверку.
563;Просадка люка/Незакрытый люк на проезжей части/тротуаре;На выезде из двора огромная яма у люка. Уже больше месяца. 
564;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
565;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Множественные повреждения асфальта (глубокие ямы) около всех температурных стыков на участке ТТК от выезда из туннеля под Кутузовским проспектом до Гагаринского тоннеля.
566;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
567;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;опасное сухое дерево около дорожки 
568;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
569;Нечитаемые дорожные знаки;Раскрашенный и закленный знак окооло входа в м. Нагатинская на Варашавском шоссе.
570;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
571;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Множественные повреждения асфальта (глубокие ямы) около всех температурных стыков на участке ТТК от выезда из Гагаринского тоннеля до развязки под Кутузовским проспектом.
572;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
573;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просьба выполнить установку резинки на смотровой колодец! Люк находится ниже обода. Люковое оборудования трогать не надо, с ним все отлично
574;Неубранная проезжая часть/тротуар;
575;Неисправность элементов освещения на проезжей части/тротуаре;
576;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Выбоины на тротуаре. 
577;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел асфальт вокруг люка
578;Неубранная проезжая часть/тротуар;На дублере Варшавского шоссе
579;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Глубокая выбоина при въезде на стоянку.
580;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Просадка абп. Выделено место ремонта. Просьба устранить
581;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Добрый день, на круговом движении весь асфальт волнами. Очень сильно подбрасывает автобус при движении.
582;Поврежденные/неправильно установленные дорожные знаки;
583;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Дорога в ямах
584;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Ветви дерева мешают проходу по тротуару. 
585;Поврежденные/неправильно установленные дорожные знаки;Сломан дорожный знак. 
586;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Буквально полторы недели назад было заменено полностью асфальтовое покрытие на тортуаре, но 4 дня назад было замечена свежая выбоина, или продавленая или вырезанная в виде окружности. Видно, что ее забросали мусором из асфальтовой крошки. Туда может провалиться каблук и подломиться нога или споткнуться взрослый человек или ребёнок. Скейт или ролики
587;Поврежденные искусственные дорожные неровности;Повреждение «дорожного полицейского»
588;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Асфальт положили, а через день он провалился. Переложите, пожалуйста, нормально. Спасибо! 
589;Повреждение бордюров на проезжей части/тротуаре;Повреждён бордюрный камень. 
590;Поврежденные дорожные ограждения;Требуется ремонт панели.
591;Поврежденные дорожные ограждения;Вход перед школой . Поврежден столб безопасности 
592;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на тротуаре 
593;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма
594;Поврежденные/неправильно установленные дорожные знаки;дорожный знак установлен с нарушением высоты от уровня земли
595;Поврежденные искусственные дорожные неровности;
596;Реклама на дорожном покрытии;Реклама
597;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Наличие сухостоя (в районе дома 73
598;Неубранная проезжая часть/тротуар;Песок на тротуаре!
599;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Возле Тарутинская д8. Повреждение асфальтового покрытия , пешеходной дороги . Видимо пока напротив дорожку делали, тут разрушили
600;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Не сделана санитарная обрезка дерева. 
601;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Оставлена недоделанная большая глубокая яма на везде во двор!!!
602;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы.
603;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Дорога на протяжении месяца без асфальта, огромные ямы, водители ежедневно наносят повреждения личным а/м, ничего не происходит. Месяц нет асфальта на протяжении всего проезда от Звенигородского шоссе. Прошу принять меры к подрядной организации и обязать в кратчайшие сроки положить асфальт! 
604;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Сухие ветки, необходима санитарная оьрезка
605;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма около дома 33к3
606;Неубранная проезжая часть/тротуар;Порезали ветки и раскидали, не вывозя
607;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
608;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;В нарушение п.п. 4.2.11, 4.2.13 ППМ 743-ПП, сотрудниками ГБУ Жилищник района Фили-Давыдково 20 августа 2020 в 15 часов был скошен луговой разнотравный газон. Требую привлечения к ответственности исполнителей и заказчиков данного покоса.
609;Неисправность элементов освещения на проезжей части/тротуаре;Не горит фонарь!
610;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
611;Неисправность элементов освещения на проезжей части/тротуаре;Повреждён шкаф опоры освещения, на опоре висит бухта провода
612;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
613;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма (перекресток с беломорской)
614;Неисправность элементов освещения на проезжей части/тротуаре;не горит фонарь напротив дома малая грузинская д6 
615;Подтопление на проезжей части/тротуаре;Может хватит отписываться и говорить, что все решено и отмывать бюджетные деньги!? В прошлом году полностью перекладывали там асфальт и тротуар, год прошел а ничего не изменилось!!!!!!!!!!!!!!!!!!!!!!!!!... Неужели так сложно накатать сверху в этом месте асфальт выше!!!!!
616;Неисправность элементов освещения на проезжей части/тротуаре;Обечайка кронштейна со светильниками проржавела и отвалилась. Замените кронштейн, пока он не упал.
617;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Не соблюдается уход,наблюдается массовое засыхание травяного покрова
618;Просадка люка/Незакрытый люк на проезжей части/тротуаре;
619;Неубранная проезжая часть/тротуар;Контейнер на проезжей части и мусор на тротуаре. Устраните.
620;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
621;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
622;Стертая дорожная разметка;Стертая разметка «зебра» 
623;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Пешеходная дорожка просела 
624;Стертая дорожная разметка;
625;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы на проезжей части в тоннеле
626;Неисправный светофор;2 день не работает светофор
627;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;"Неаккуратно проводится стрижка газона в кадках с деревьями по улице Неглинная, в результате чего триммером повреждаются стволы деревьев. На фото показана четвёртая по счёту кадка, если считать от Трубной площади. Крона этой липы засохла, дереву угрожает гибель. Просьба провести разъяснительную беседу с газонокосильщиками; провести обработку дерева."
628;Некачественная укладка плитки на тротуаре;Шатается плитка. Под плиткой вода брызги летят на обувь
629;Противоречия при установке дорожных знаков;На улице Адмирала Макарова перед домом 19 корпус 1 знак 3.27 «Остановка запрещена» стоит прямо на разметке парковочного места. Причем это парковка для инвалидов. Противоречие знака и разметки вводит водителей в заблуждение. 
630;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Удалите пожалуйста сухостой
631;Неисправный светофор;Отсутствует замок, открыта дверка технического ящика на светофоре пешеходного перехода через бульвар Яна Райниса 
632;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Вздутие асфальта в районе деформационных швов в тоннеле
633;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Снова все уничтожено трактором.
634;Повреждение бордюров на проезжей части/тротуаре;Отсутствует бордюр у пешеходного тротуара со стороны дебаркадера д.5
635;Стертая дорожная разметка;Частично стерта дорожная разметка не регулируемого пешеходного перехода через проектируемый проезд 6224 между д.13 к.1 с.1 и школой 1286»север»
636;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Нарушено асфальтное покрытие. 
637;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
638;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
639;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Плохое состояние дорожного покрытия на подъезде к многоуровневой парковке по ак.Волгина, 2/3. Ямы, выбоины. 
640;Просадка люка/Незакрытый люк на проезжей части/тротуаре;произошла усадка люков, которые находятся напротив Смольная 49. Проезжающие машины наезжая на люк создают шум, который не позволяет спать в ночное время суток. днем, это так же мешает работать. проблема отмечена на протяжении 2-х недель. прошу срочно вмешаться, отсутствие сна приводит к нервному срыву и непродуктивности в рабочее время.
641;Некачественная укладка плитки на тротуаре;
642;Просадка люка/Незакрытый люк на проезжей части/тротуаре;произошла усадка люков, которые находятся напротив Смольная 49. Проезжающие машины наезжая на люк создают шум, который не позволяет спать в ночное время суток. днем, это так же мешает работать. проблема отмечена на протяжении 2-х недель. прошу срочно вмешаться, отсутствие сна приводит к нервному срыву и непродуктивности в рабочее время.
643;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Нарушено асфальтное покрытие. 
644;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Требуется восстановление газона. Спасибо!
645;Поврежденные/неправильно установленные дорожные знаки;Дорожный знак наклонен и может упасть.
646;Неубранная проезжая часть/тротуар;Добрый вечер! Прошу Вас, объясните тем, кто отвечает за уборку, что убирать надо регулярно!
647;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка люка
648;Поврежденные искусственные дорожные неровности;Просьба заменить лежачий полицейский, так как из за провалившейся колеи он стал не ровный, и автомобили ударяются днищем о него.
649;Неубранная проезжая часть/тротуар;Вторую неделю перекрыт тротуар. Пешеходы вынуждены идти по дороге, подвергая себя опасности. Точный адрес: Барашевский пер., д.3, хостел Привет
650;Повреждение бордюров на проезжей части/тротуаре;
651;Некачественная укладка плитки на тротуаре;По адресу Маросейка 6-8с1 у угла дома(ресторан Larry Krabs) была замена плитки, работа выполнена некачественно и до конца не сделана.Есть зоны где забыли положить плитки и не сделали.на данной момент имеется яма так как плитка отсутствует
652;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Просадка асфальтобетонного покрытия на мичуринском проспекте, сразу после пересечения Ломоносовского проспекта движение в сторону ул Косыгина
653;Повреждение лестницы на тротуаре;Лестница в плохом состоянии.
654;Некачественная укладка плитки на тротуаре;
655;Неисправный светофор;Кнопка провалилась
656;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
657;Реклама на дорожном покрытии;реклама
658;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Провал а/Б покрытия на проезжей части
659;Поврежденные/неправильно установленные дорожные знаки;Улетел знак пешеходного перехода расположенный над дорогой на консоли.
660;Неубранная проезжая часть/тротуар;Дорога цементной пылью усеяна с местного цементного завода. Поднимается клубами после проезда каждой машины.
661;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Потребуется ремонт тротуара. 
662;Поврежденные/неправильно установленные дорожные знаки;Сбились «в кучу» знаки движения в полосе. 
663;Поврежденные/неправильно установленные дорожные знаки;
664;Наличие опасно выступающих элементов на проезжей части/тротуаре;На протяжении всей трассы, а также на пересекающих ее дорогах, в результате многослойного нанесения краски разметка пешеходных переходов опасно выступает над проезжей частью, что создает опасную ситуацию при переходе улицы, особенно для детей, пожилых и людей с ограниченными возможностями.
665;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;На участке между 24 и 28 домом расположено несколько сухостойных деревьев. Аварийное дерево на фото уже тоже сухостой. Многие деревья были повреждены во время прокладки асфальтовой дорожки. 
666;Повреждение бордюров на проезжей части/тротуаре;Здравствуйте  Прошу Вас привести в порядок подъем на тротуар для МГН у дома 10 по 2-й Филевской улице  С уважением,инвалид-колясочник,Петрова Т.Л.
667;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;20/08/2020 в 1600 около д.22 по М.Филевской вдоль проезжей часть осуществлялся покос газона запрещенным способом с использованием триммера, что нарушает постановление Москвы №743-ПП от 10/09/2002. прошу привлечь к административной отвественности организацию, осуществлявшую покос и предотвратить дальнейшие нарушения
668;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
669;Поврежденные/неправильно установленные дорожные знаки;"Развёрнут дорожный знак ""Пешеходный переход""!"
670;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
671;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
672;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Люк просел.
673;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;На тротуаре, напротив Сбербанка, отсутствуют цветы
674;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Люк просел
675;Реклама на дорожном покрытии;Реклама на тротуаре у пешеходного перехода.
676;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Рядом с бц интеграл яма, несколько недель никто не ремонтирует.
677;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ужасное состояние дороги. Сплошные неровности. Делают только заплатки. Просьба положить новый асфальт.
678;Реклама на дорожном покрытии;Реклама на тротуаре
679;Неисправный светофор;на перекрестке с лескова сломали стойку со светофорной кнопкой
680;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
681;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;На газонах у тротуара вдоль дороге несколько пней (при этом, согласно ответам на портале, тут восстановлен покров). Примеры и ориентиры - на фото.
682;Поврежденные искусственные дорожные неровности;
683;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
684;Неубранная проезжая часть/тротуар;Газоны вдоль тротуара улицы в застарелом, в основном строительном мусоре. Не убираются ни скошенные (якобы для этих целей) не лишенные покрова участки. Ориентиры на фото.
685;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка люка.
686;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
687;Поврежденные дорожные ограждения;Листы ограждения сорваны и опасно выступают наружу угрожая жизни прохожих и водителей
688;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Здравствуйте! Газоны возле дома 8А по ул. Алабяна частично высохли. Прошу произвести полив и возможно даже подсев семян. Прошу также обратить внимание на регулярный полив газона при отсутсвии осадков. Сейчас он не осуществляется вообще. Благодарю!
