;Локальная тема;Описание
418;Некачественное содержание/неисправность лифта;Повреждение кабины.- необходимо выравнивание пола, укладка нового покрытия пола кабины лифта.
419;Неубранный подъезд;Окна не мыты с момента установки. На стеклах остались наклеки для перевозки стекл. На стенах объявления. Лестница грязная. Наведите порядок.
420;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Для предупреждения травмирования людей и дальнейшего разрушения фасада дома необходимо провести восстановление отвалившейся облицовки и ревизию всей облицовки фасада фото - облицовка между 17и 18 этажами 2подъезда с обратной стороны дома 
421;Неисправность/повреждение входной двери/домофона;Прошу починить или заменить входную дверь чёрной лестницы 2 подъезда. Дверь низкого качества, вся перекошена, замок не закрывается, держится только на верхнем электронном замке
422;Несанкционированные объявления, надписи и рисунки в подъезде;
423;Ненадлежащее выполнение работ по капитальному ремонту в доме;По адресу ул. Гиляровского, 45 на 3 и 4 августа 2020 г. была запланирована замена газовых труб, которая прошла оперативно. Из-за отсутствия некоторых жильцов работы не могут быть завершены. Уже 19 дней полностью газоснабжение отсутствует в 24-х квартирах и 12 квартир подключены ко временному газопроводу. Управляющая компания бездействует.
424;Некачественное содержание/неисправность лифта;В кабине выломаны кнопки «1 этаж» и «закрытие дверей»
425;Неисправность элементов освещения;На лестничной площадке 17 этажа 2 подъезда круглосуточно не работает светильник
426;Неубранный подъезд;Подъезд плохо убирается... На подоконниках кладбище насекомых...
427;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;В помещении где находится щитовая дома и пожарная щитовая проживают мигранты 
428;Неисправность элементов освещения;Из 4 светильников работает только один, просьба поменять сгоревшие лампочки.
429;Некачественное содержание мусоропровода;
430;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;3 подъезд 5 этаж поврежден штапик в двери. 
431;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;Разбито Стекло в двери на лестничную клетку 
432;Некачественное содержание мусоропровода;В очередной раз забит мусоропровод и нет возможности им пользоваться , забит стояк и загрузочный клапан не открывается, ненадлежащие содержание ствола мусоропровода и приемной камеры. Ликвидируйте засор и обеспечите надлежащие качество содержание мусоропровода.
433;Неисправность элементов освещения;Добрый день! Замените перегоревшие лампы на первом этаже.Спасибо
434;Некачественное содержание/неисправность лифта;Не работает половина светильников в лифте.
435;Неисправность/повреждение входной двери/домофона;
436;Неисправность элементов освещения;На 5 этаже не горит вторая лампа, которая освещает пролёт между 4 и 5 этажами. Вечером неудобно.
437;Неубранный подъезд;Работа дворника в подъезде категорически не устраивает. Уборка 2 этажа не производится практически, валялся мусор 4 дня, обратились к дворнику на улице лично, тот убрал крупный мусор, оставив вот такую картину, сегодня 5-ый день с того момента (фото прилагаю).
438;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Отвалились две плитки. Под окном второго этажа и на фундаменте.
439;Неисправность/повреждение входной двери/домофона;Это второй раз. Первый раз ограничились сваркой, которая прослужила недолго. Видимо в ожидании, когда под этим куском металла будет чья-нибудь жизнь или здоровье. Дверь требует замены, а не латок. 
440;Несанкционированные объявления, надписи и рисунки в подъезде;На первом этаже разбили стенд и много осколков.
441;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;По адресу, Дмитровское ш, д124А, корпус 2, было плановое отключение воды с 10.08.20г. по 20.08.20г. Дали горячую воду около 7 вечера, далее 21.08.20г. ее опять небыло, звонили на горячую линию компании, с вопросом когда ее включат, сказали, ждите мастера, должен придти, около 8 вечера она снова появилась. Сегодня 22.08.20г. Горячей воды нет.
442;Неисправность элементов освещения;
443;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;22.08.2020 6:00 Полотенце сушитель до сих пор холодный, хотя включить горячую воду должны были еще 21.08.2020 в 14:00. А место горячей идёт холодная.
444;Неисправность элементов освещения;Перегорела лампочка в подъезде
445;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Трещина в отмостке , в трещине живут муравьи и растут растения , все более её разрушая , в районе 3 го подъезда сторона пожарного проезда. 
446;Неисправность/повреждение входной двери/домофона;Не работает дверь входная с домофоном. Не открывается, ни с ключом, ни пароль. Только с внутренней стороны возможно открыть. Как примагнитилась
447;Неубранный подъезд;8 этаж, в холе у квартир, не качественная и «тяп ляп» уборка 
448;Неубранный подъезд;Не убираются 
449;Неубранный подъезд;На -1 и 1 этаже УК не убирается должным образом. Нынешняя уборка заключается в проведении грязной мокрой тряпкой по полу. В результате этого пол весь в грязи, пятнах и прилипших кусках неизвестно чего. Полнейшая антисанитария. 
450;Некачественное содержание/неисправность лифта;Разбито зеркало в лифте, с него начали падать крошки, люди могут порезаться
451;Неисправность элементов освещения;Не работает освещение подъезда и общих балконов
452;Неисправность элементов освещения;На 7 этаже перегорели 2 лампы перед лифтом.
453;Некачественное содержание мусоропровода;Не качественное содержание мусопопровода. Забит. 4 подъезд. 6 этаж
454;Неисправность элементов освещения;Добрый день! Не работает освещение у подъезда в темное время суток.
455;Некачественное содержание/неисправность лифта;Центральный лифт с левой стороны не работает свет !
456;Некачественное содержание мусоропровода;2 недели стоят стёкла за мусоропроводом, элементы ковша в неудовлетворительном состоянии.
457;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;Отсутствует дверная ручка со стороны лестницы. Просьба навести порядок
458;Некачественное содержание подвальных и чердачных помещений;Более недели в подъезде стоит вонь, запах чувствуется на улице, деятельность никакая не ведётся. Прошу незамедлительно убрать это все и осушить подвал! 
459;Неубранный подъезд;Добрый день. Запах из мусоропровода.
460;Неисправность/повреждение входной двери/домофона;не работает врытая дверь . сломалось крепление
461;Неисправность элементов освещения;Не работает освещение перед входной группой, на площадке между 7 и 8 этажами также отсутствует освещение
462;Некачественное содержание мусоропровода;Засор на 11 этаже
463;Некачественное содержание/неисправность лифта;Лифт ПОСТОЯННО застревает на 7ом этаже. КАЖДЫЙ ДЕНЬ! Когда это прекратится? Поменяйте лифт или лифтеров, я не знаю уже...
464;Некачественное содержание подвальных и чердачных помещений;Отсутствие реагирования приводит к полному затоплению подвала - неоднократное. 
465;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Просьба перевести в соответствие. Спасибо
466;Некачественное содержание/неисправность лифта;Сегодня в 16:30 тот самый лифт опять не работает. Если можно заменить его по гарантии.
467;Некачественное содержание/неисправность лифта;Шум при вызове и движении лифтовой кабины ( в подъезде два лифта), скрежет и сильный шум при открывании и закрытии дверей на 9ом и 1ом этаже. Прошу устранить причину возникновения шума мешающего проживанию.
468;Неисправность элементов освещения;В подъезде возле почтовых ящиков мигает лампочка
469;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Добрый день. Меня не устраивает внешний вид подъезда, проживаем в самом центре в хорошем доме. Зайти в подъезд стыдно. За что Я плачу 2500 в месяц за содержание и ремонт подъезда???? Это считается образцовый подъезд?
470;Неисправность элементов освещения;Мигает (не горит практически) лампа при входе в подъезд на 1 этаж Просьба исправить проблему Спасибо 
471;Неубранный подъезд;Внимание! Бытовой мусор не убирается, складируется перед входом в мусорокамеру подъезда №3. Обеспечьте санитарное состояние и чистоту!
472;Некачественное содержание/неисправность лифта;В кабине грузового лифта выпадает кнопка вызова 11 этажа
473;Неисправность элементов освещения;Проблем повторяется, опять отсутствует освещение в тех же местах, видимо его просто не включают....
474;Неисправность элементов освещения;
475;Некачественное содержание/неисправность лифта;Двери грузового лифта при закрытии громко и сильно дергаются. 
476;Некачественное содержание/неисправность лифта;Улица Алтайская дом 19, подъезд 3. В лифте сломана защитная панель освещения
477;Неисправность элементов освещения;Добрый день! В холле первого этажа не работает освещение
478;Неубранный подъезд;На протяжении месяца не было влажность уборки, на полу пятна и разбросанные окурки лежат уже не первый день. 
479;Неисправность элементов освещения;Отсутствует свет в подъезде. Зачем вы обманываете что свет починили
480;Неубранный подъезд;Прошу произвести уборку .
481;Некачественное содержание подвальных и чердачных помещений;В настоящий момент ведутся работы по капитальному ремонту дома. Рабочими были обнаружены протечки в подвале. Источник неизвестен. Протечки наблюдаются в зоне 2 (на фото) и четвертого подъезда.
482;Неисправность элементов освещения;Не работает освещение на 6 этаже пожарной лестнице 
483;Повреждение электропроводки/щитового оборудования;Открыта или повреждена распределительная коробка на 5 этаже пожарной лестнице 
484;Неисправность элементов освещения;Перегорела лампочка на этаже 
485;Некачественное содержание/неисправность лифта;В лифте очень грязно, зеркало грязное
486;Некачественное содержание/неисправность лифта;В подъезде 8 грязь и строительный мусор в шахтах лифта, под кабинами лифта. Просьба устранить замечания и УК заблаговременно обходить дом с целью контроля за содержанием элементов дома
487;Неисправность элементов освещения;Не горит свет на лестнице
488;Некачественное содержание/неисправность лифта;Установлена некорректная кнопка этажа, изображение не соответствует номеру этажа
489;Неисправность элементов освещения;Не работает светильник на площадке у лифтов на третьем этаже.
490;Некачественное содержание/неисправность лифта;1,5 месяца не работает лифт
491;Некачественное содержание/неисправность лифта;Постоянно ломается лифт.
492;Некачественное содержание/неисправность лифта;Не работает лифт. Третий день подряд 
493;Некачественное содержание мусоропровода;Между 5 и 6 этажами уже несколько дней сломан мусоропровод 
494;Неисправность элементов освещения;
495;Неисправность элементов освещения;На лестничной площадке не работает много ламп, нет технической возможности вставить все фото. Начиная с 17 этажа пожалуйста спуститесь вниз до 7, там практически на каждом этаже нужна замена. 
496;Некачественное содержание/неисправность лифта;Прошу привести в надлежащий вид кабину
497;Некачественное содержание/неисправность лифта;Опять не вызывается дальний от входа в подъезд лифт.
498;Неисправность элементов освещения;Мигает лампа 
499;Неисправность элементов освещения;В третий раз уже вызываю электриков. Проблема устраняется не в полном объёме. Лампа горит некоторое время, но вскоре тухнет и больше не включается. 
500;Некачественное содержание/неисправность лифта;На четвёртом этаже лифт открывается с огромным грохотом. Ребёнок просыпается и пугается во время открытия дверей в лифте. Прошу исправить.
501;Некачественное содержание мусоропровода;на 3 этаже нужно починить ковш мусоропровода. установить резинку, т.к. запах мусора бывает просто невыносим.
502;Некачественное содержание/неисправность лифта;Разбит экран
503;Несанкционированные объявления, надписи и рисунки на фасадах;
504;Несанкционированные объявления, надписи и рисунки на фасадах;
505;Неисправность элементов освещения;Просьба восстановить исправную работу светильника на втором этаже, на данный момент он быстро воспроизводит повторяющиеся яркие световые импульсы (мигает).
506;Неисправность/повреждение пандуса;Сломанный пандус
507;Неубранный подъезд;Грязные стены
508;Неубранный подъезд;Очень грязно на эвакуационной лестнице с 1 по 5 этаж, не убирают уже 3 недели.
509;Несанкционированные объявления, надписи и рисунки в подъезде;
510;Неисправность элементов освещения;В тамбуре на 6 этаже перегорела лампа , за неисправностью никто не следит! Прошу поменять лампочку 
511;Повреждение электропроводки/щитового оборудования;Огромная дыра в стене с открытыми проводами
512;Протечка в подъезде;Повторное обращение, по предыдущему написали что не обнаружено ( 26079113). В квартиру после сильного дождя протекает вода с крыши- течь обнаружена в коридоре. Требуется устранить. Заранее спасибо . Уточняю, что после того как был мастер и сообщил что на крыше -не обнаружено проблем, проблема осталась.
513;Неисправность элементов освещения;На самом деле перегорели лампочки не только на пятом этаже, половина светильников в подъезде не горит уже несколько месяцев. Интересно, а вы сами пробовали приложить фотографию не горящей лампочки в темноте?
514;Несанкционированные объявления, надписи и рисунки в подъезде;
515;Неубранный подъезд;Подъезд не убирается. Все время грязь. Ползают тараканы и разные насекомые.
516;Неисправность элементов освещения;Добрый день. Настоящим письмом выражаю свое уважение и спешу сообщить о перегоревшей лампе в прилифтом холле на 13-ом этаже. Прошу устранить. Заранее благодарю.
517;Неубранный подъезд;Давно не мыли в подъезде, 1 и 2 этажи очень грязные.
518;Несанкционированные объявления, надписи и рисунки на фасадах;
519;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Добрый день! По уборке у меня не было претензий, почему вы даёте ответ по влажной уборке? Вопрос в моем обращении был по ремонту подъезда. Подкрашен был только первый этаж для приложенных фото. См. фото других этажей от сегодня: никаких работ на других этажах проведено не было. 
520;Неисправность/недоступность подъемной платформы для инвалидов;не работает подъемная платформа для инвалидов с 13.08.2020г. Не могу выйти на улицу. просьба разобраться в проблеме.
521;Некачественный текущий ремонт;Новый способ экономии средств на ремонте? Почему только низ двери окрашен? Ржавчина есть и в других местах!!!
522;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;Здравствуйте. Горячую воду по графику должны были дать 20 августа в 13:59, но её нет до сих пор (21 августа, 12:39). Когда горячее водоснабжение возобновится?
523;Неисправность/повреждение входной двери/домофона;Входная дверь в 1-м подъезде несколько дней не закрывается и остается открытой.
524;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;На -1 этаже дверь вываливается вместе с дверной коробкой.
525;Протечка в подъезде;В подъезде большая протечка между этажами, штукатурка отваливается, присутствует неприятный запах ! Ремонт в подъезде не делается! Только точечный ремонт по заявкам... Просьба принять меры по устрашению проблемы 
526;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;"После проведения ремонта вашими ""специалистами"" со всех дверей в МОП пропали пружины, ваши спецы сдали их в металлолом. Позаботьтесь о том что бы их вернули"
527;Некачественное содержание/неисправность лифта;В обеих лифтах очень грязный потолок,весь разрисованный. Просьба привести в порядок. 
528;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;3 секция
529;Ненадлежащее выполнение работ по капитальному ремонту в доме;Не закреплен кабель канал над щитком в тамбуре
530;Неисправность/недоступность подъемной платформы для инвалидов;В очередной раз (прошлый случился 6-го июня с.г.) пришел в негодность механизм открывания/закрывания внешней двери платформы! При нажатии кнопки дверца не закрывается до конца, не давая платформе начать подъем! После 4 безуспешных попыток она все-таки закрылась, однако нет уверенности в том, что подобная ситуация не повторится впредь! 
531;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;Здравствуйте! Уже который раз через день отключают на 3-4 часа горячую воду днём. Никаких предупреждений нет. Безобразие. Прошу разобраться.
532;Сломанные почтовые ящики;Сломаны почтовые ящики в 1 подъезде у кв.5 и кв.12. Прошу отремонтировать замки у почтовых ящиков, по ул. Марашала Савцкого, д.28, в 1 подъезде, г. Москва.
533;Некачественный текущий ремонт;В тамбуре квартир 65-68 управляющей кампанией ведутся работы по устранению замечаний, ранее поданных на портал. Работы ведутся некачественно. В частности, в районе пожарного щитка штукатурка нанесена на не снятый со стены скотч (как такое возможно???) Устраните данное замечание и работайте качественно. 
534;Неисправность/повреждение входной двери/домофона;Сломана ручка. Торчит крепёж, можно пораниться. При открывании и закрывании дверь сильно скрипит. Дверь не плотно закрывается в результате не срабатывает магнитный замок и сильно гудит.
535;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Повреждено напольное покрытие лифтового холла 1 этажа. Жильцы запинаются, падают. Травмоопасно!
536;Неисправность элементов освещения;Практически не светит лампа на 2 этаже, где лестничный проход. Прошу заменить. 
537;Неисправность элементов освещения;На лестнице между первым и вторым этажом не горит лампа освещения
538;Некачественное содержание мусоропровода;Забита труба мусоропровода на 12 этаже. Ковш мусоропровода не закрывается. Спасибо.
539;Неисправность элементов освещения;Под козырьком подъезда нет света, прошу исправить!
540;Некачественный текущий ремонт;Управляющая компания в рамках капитального ремонта не меняет перила, износившиеся за время эксплуатации ( а это около 50 лет) дома, а «жирно» их шпаклюет. 
541;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Некачественное содержание отростки. Ямы, в которых собирается дождевая вода. 
542;Некачественное содержание/неисправность лифта;Добрый день. Неоднократно, в течение месяца точно, маленький лифт в 6 подъезде приезжает на этаж, останавливается, двери не открываются. Если повезет, и лифт доедет до этажа, то двери можно разжать руками и выбраться. Если не повезет, то придется просидеть в кабине (одна из пострадавших плакала). Прошу срочно рассмотреть и произвести замену лифта!
543;Неубранный подъезд;Очень грязная дверь
544;Поврежденные окна;Просьба отремонтировать или заменить поврежденные окна в подъезде над входной дверью. 
545;Поврежденные окна;
546;Некачественный текущий ремонт;
547;Сломанные почтовые ящики;
548;Неубранный подъезд;На 9 этаже у лифта,лестнице на крышу и между 8 и 9 этажом у мусорпровода устроена свалка.Хлама становится все больше .Просьба принять меры!!!
549;Некачественный текущий ремонт;В стенах на лестничной клетке, на 3, 4, и 5 этажах сделаны проломы, которые ничем не закрыты. Более 3 недель не ведутся никакие работы.
550;Некачественный текущий ремонт;Покрытие стен имеет следы обуви и сварки. Вокруг кнопки вызова кабины лифта очень грязно. Нужно красить все стены 1 этажа.
551;Некачественный текущий ремонт;В подьезде ведётся ремонт. Неделю назад рабочие сняли плитку с пола , но с тех пор ни каких работ не ведут. Убрана только старая плитка, но в подьезде грязь и пыль ни кто не убрал, ужасное антисанитарное состояние подьезда
552;Неисправность/повреждение входной двери/домофона;Домофон в 6 подъезде, на Кошкина 12к1, открывается ЛЮБЫМ домофонным ключем! Просьба сделать корректный доступ в подъезд.
553;Неисправность/повреждение пандуса;Просьба разместить лавочку таким образом, чтобы она не мешала подъезду к пандусу детским и инвалидным коляскам.
554;Неубранный подъезд;Добрый день! Каждый раз заходя в подъезд невыносимый запах с мусоропровода. Заходя в лифт всё время грязище,тряпкой который моют пол,также протираются стены в лифте. Со дня заезда в этот дом , никогда не видели чистый лифт , полы моются крайне редко и для показухи первые этажи. Стены на 9 этаже , где мы проживаем все грязные! Просьба принять меры! 
555;Поврежденные лестницы;Перед въездом на пандус полуразрушенный наплыв из бетона, за который цепляются колеса. Необходимо сделать так, чтобы была ровная поверхность.
556;Некачественное содержание/неисправность лифта;В нашем подъезде постоянно ломаются лифты! За этот месяц это происходило более 4ех раз! Причем чаще всего не работают оба лифта сопровождаемые громким гулом из шахты. И никто не торопиться их чинить! После заявок лифты не работают по полдня! На данный момент не работает маленький лифт со вчерашнего дня! Просьба разобраться и устранить проблемы!
557;Неисправность элементов освещения;Прошу заменить лампы освещения
558;Неисправность/повреждение входной двери/домофона;Обшарпанная, наполовину покрашенная дверь. Необходимо сначала счистить старую краску, затем красить заново.
559;Несанкционированные объявления, надписи и рисунки на фасадах;
560;Некачественное содержание мусоропровода;"На 2 этаже лоток мусоросборника не закрывается. В подъезде стоит сильный запах мусора. , и это уже не в первый раз! Мытье и санобработка ствола мусоросборника и самой кабины не производится! Мухи роятся в плоть до 9 этажа. А ведь это предписано (<a href=""https://www.mos.ru/news/item/4849073"" target=""_blank"">https://www.mos.ru/news/item/4849073</a>)! Кроме того на девятом этаже взломан замок ящика пожаротушения. "
561;Неисправность/повреждение входной двери/домофона;Не закрывается входная дверь
562;Неисправность элементов освещения;В «предбаннике» квартир 255 и 256 перегорел плафон - замена лампочек не помогает, Света нет
563;Неисправность/повреждение входной двери/домофона;В первом подъезде проржавела дверь, установленная за счет жильцов подъезда. Просим заменить входную дверь .
564;Неубранный подъезд;На общей двери 15 этажа присутствуют следы клея, пальцев, грязи.
565;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Подъезду требуется косметический ремонт!
566;Некачественное содержание мусоропровода;Сломан ковш между 3 и 4 этажами. Из за деформации формы ковша и ржавого гнутого крепления, он трется о металл самого мусоропровода и издает громкий шум при закрытии. Отсутствует одна из резинок. Закрывается с трудом.
567;Неисправность/повреждение входной двери/домофона;Дверь не закрывается, замок не работает, стрит открытой
568;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;Просьба закрепить доводчик двери
569;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;В лифтовом холле -2 этажа отошло от пола напольное покрытие. Есть опасность споткнуться и упасть.
570;Некачественное содержание/неисправность лифта;Не работает несколько ламп освещения в грузовом лифте
571;Некачественное содержание/неисправность лифта;Лифт в подтеках масла. Хотя ранее сообщали, что работы по утранению течи проведены 
572;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;В подвале дома каждый день без выходных располагаются сантехники(?). Это происходит уже 2 месяца. Они шумят постоянно. Дети не могут спать. На замечания не реагируют. По данным управы ремонта в доме не проводится. Звонили в управу, там сказали что их уберут, но результата нет, они по прежнему там. Можно из удалить от туда?
573;Некачественное содержание/неисправность лифта;После использования лифта (подъем, спуск) двери лифта закрываются и сразу же открываются, лифт не отключается и его не возможно вызвать с других этажей. Открывание- закрывание дверей длится порядка 10-20 минут.
574;Неисправность элементов освещения;Добрый день! Неисправны оба осветительных прибора на лестнице у лифта. Уже оставлял обращение на ЕДС (№2745574), автомат отзвонился о решении проблемы, но по факту все осталось как есть, тоска-печаль. Прикладываю два фото, прошу наладить освещение. Заранее спасибо!
575;Неисправность элементов освещения;
576;Неубранный подъезд;
577;Неисправность/повреждение входной двери/домофона;"В 6 подъезде очень тяжелая дверь, необходимо установить доводчик, с внешней стороны. Старый доводчик установлен был ближе к косяку, ввиду этого тяжело открывается дверь. У подъезда высокий приступок и ни инвалиды-колясочникики, ни коляски не могут звехать; мамы с детьми тоже не могут завезти велосипеды.Все что нужно - лист стали приварить под углом"
578;Некачественное содержание/неисправность лифта;
579;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;
580;Поврежденные лестницы;Растительность разрушает крыльцо пожарного выхода из подъезда 
581;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Вокруг всего дома есть зазор между землей и цоколем, что приводит к попаданию влаги и разрешению фундамента! В зимнее время года нарушается тепловой конкур, что ведёт к промерзанию фундамента и как следствие смещение «точки росы» в подвал дома, что ведёт к образованию конденсата и плесени на стенах. Прошу вас устранить проблему! 
